Customer_ID,Age,Gender,Category,Purchase_Amount,Rating,Order_Count,Cluster
1000,56,Male,Electronics,8011,3.6,9,2
1001,46,Female,Electronics,5965,1.9,13,0
1002,32,Female,Fashion,8763,1.5,9,2
1003,25,Male,Sports,4882,2.7,14,1
1004,38,Female,Sports,565,1.7,5,3
1005,56,Female,Books,1379,1.4,2,3
1006,36,Female,Electronics,8759,2.2,7,2
1007,40,Female,Books,9908,4.4,16,2
1008,28,Female,Electronics,7722,1.1,11,2
1009,28,Female,Fashion,5569,2.2,11,0
1010,41,Male,Sports,3739,2.7,12,1
1011,53,Male,Sports,1007,3.0,13,3
1012,57,Male,Fashion,8204,1.7,8,2
1013,41,Male,Books,1625,4.9,16,3
1014,20,Male,Books,1385,3.3,1,3
1015,39,Female,Home Decor,3341,3.1,13,1
1016,19,Male,Electronics,8475,1.0,11,2
1017,41,Male,Books,7065,2.9,4,0
1018,47,Female,Fashion,6583,4.4,4,0
1019,55,Female,Books,5370,1.9,15,0
1020,19,Male,Sports,3025,2.4,3,1
1021,38,Female,Electronics,9617,1.1,19,2
1022,50,Female,Home Decor,4715,4.9,2,1
1023,29,Female,Electronics,2438,1.3,6,3
1024,39,Female,Sports,3732,4.6,8,1
1025,42,Male,Sports,4244,2.3,17,1
1026,44,Female,Sports,6721,3.4,5,0
1027,59,Male,Sports,3965,3.7,2,1
1028,45,Male,Fashion,940,1.6,12,3
1029,33,Female,Home Decor,961,2.8,5,3
1030,32,Female,Sports,9303,2.3,10,2
1031,20,Female,Sports,5913,1.2,9,0
1032,54,Male,Books,6255,4.3,8,0
1033,24,Female,Home Decor,5512,1.2,1,0
1034,38,Female,Electronics,3663,3.6,6,1
1035,26,Female,Home Decor,7252,2.3,11,0
1036,56,Female,Home Decor,505,1.8,3,3
1037,35,Female,Home Decor,5276,3.7,15,0
1038,21,Male,Sports,7538,3.3,11,0
1039,42,Female,Sports,6914,2.3,5,0
1040,31,Female,Fashion,6239,3.1,16,0
1041,26,Female,Electronics,4470,2.0,7,1
1042,43,Male,Books,3106,4.5,6,1
1043,19,Female,Home Decor,598,2.3,9,3
1044,37,Male,Electronics,1025,2.0,7,3
1045,45,Male,Electronics,6837,4.0,3,0
1046,24,Female,Fashion,1680,1.1,11,3
1047,25,Female,Books,8567,2.1,12,2
1048,52,Female,Home Decor,9830,2.5,11,2
1049,31,Male,Books,4991,4.5,2,1
1050,34,Male,Fashion,6422,4.8,1,0
1051,53,Male,Sports,3571,3.9,2,1
1052,57,Male,Electronics,6141,3.0,14,0
1053,21,Male,Home Decor,7881,3.6,13,2
1054,19,Male,Sports,3292,2.7,5,1
1055,23,Female,Fashion,5278,2.2,2,0
1056,59,Female,Books,514,4.8,19,3
1057,21,Male,Electronics,2915,1.5,17,1
1058,46,Female,Home Decor,3185,2.4,11,1
1059,35,Female,Sports,9928,4.6,16,2
1060,43,Male,Sports,8659,3.9,18,2
1061,51,Male,Electronics,8426,1.1,8,2
1062,27,Female,Books,4600,1.1,2,1
1063,53,Male,Fashion,6874,3.1,17,0
1064,31,Male,Books,6504,2.9,11,0
