Customer_ID,Age,Gender,Category,Purchase_Amount,Rating,Order_Count
1000,56,Male,Electronics,8011,3.6,9
1001,46,Female,Electronics,5965,1.9,13
1002,32,Female,Fashion,8763,1.5,9
1003,25,Male,Sports,4882,2.7,14
1004,38,Female,Sports,565,1.7,5
1005,56,Female,Books,1379,1.4,2
1006,36,Female,Electronics,8759,2.2,7
1007,40,Female,Books,9908,4.4,16
1008,28,Female,Electronics,7722,1.1,11
1009,28,Female,Fashion,5569,2.2,11
1010,41,Male,Sports,3739,2.7,12
1011,53,Male,Sports,1007,3.0,13
1012,57,Male,Fashion,8204,1.7,8
1013,41,Male,Books,1625,4.9,16
1014,20,Male,Books,1385,3.3,1
1015,39,Female,Home Decor,3341,3.1,13
1016,19,Male,Electronics,8475,1.0,11
1017,41,Male,Books,7065,2.9,4
1018,47,Female,Fashion,6583,4.4,4
1019,55,Female,Books,5370,1.9,15
1020,19,Male,Sports,3025,2.4,3
1021,38,Female,Electronics,9617,1.1,19
1022,50,Female,Home Decor,4715,4.9,2
1023,29,Female,Electronics,2438,1.3,6
1024,39,Female,Sports,3732,4.6,8
1025,42,Male,Sports,4244,2.3,17
1026,44,Female,Sports,6721,3.4,5
1027,59,Male,Sports,3965,3.7,2
1028,45,Male,Fashion,940,1.6,12
1029,33,Female,Home Decor,961,2.8,5
1030,32,Female,Sports,9303,2.3,10
1031,20,Female,Sports,5913,1.2,9
1032,54,Male,Books,6255,4.3,8
1033,24,Female,Home Decor,5512,1.2,1
1034,38,Female,Electronics,3663,3.6,6
1035,26,Female,Home Decor,7252,2.3,11
1036,56,Female,Home Decor,505,1.8,3
1037,35,Female,Home Decor,5276,3.7,15
1038,21,Male,Sports,7538,3.3,11
1039,42,Female,Sports,6914,2.3,5
1040,31,Female,Fashion,6239,3.1,16
1041,26,Female,Electronics,4470,2.0,7
1042,43,Male,Books,3106,4.5,6
1043,19,Female,Home Decor,598,2.3,9
1044,37,Male,Electronics,1025,2.0,7
1045,45,Male,Electronics,6837,4.0,3
1046,24,Female,Fashion,1680,1.1,11
1047,25,Female,Books,8567,2.1,12
1048,52,Female,Home Decor,9830,2.5,11
1049,31,Male,Books,4991,4.5,2
1050,34,Male,Fashion,6422,4.8,1
1051,53,Male,Sports,3571,3.9,2
1052,57,Male,Electronics,6141,3.0,14
1053,21,Male,Home Decor,7881,3.6,13
1054,19,Male,Sports,3292,2.7,5
1055,23,Female,Fashion,5278,2.2,2
1056,59,Female,Books,514,4.8,19
1057,21,Male,Electronics,2915,1.5,17
1058,46,Female,Home Decor,3185,2.4,11
1059,35,Female,Sports,9928,4.6,16
1060,43,Male,Sports,8659,3.9,18
1061,51,Male,Electronics,8426,1.1,8
1062,27,Female,Books,4600,1.1,2
1063,53,Male,Fashion,6874,3.1,17
1064,31,Male,Books,6504,2.9,11
1065,48,Female,Books,6021,2.8,14
1066,32,Male,Books,7655,2.2,16
1067,25,Female,Electronics,3797,4.9,15
1068,31,Female,Electronics,3133,2.1,15
1069,40,Female,Fashion,4390,3.0,3
1070,57,Female,Books,1291,2.6,7
1071,38,Female,Electronics,9691,1.7,12
1072,33,Male,Fashion,651,1.8,3
1073,35,Male,Fashion,3563,4.7,19
1074,41,Male,Books,6867,4.4,10
1075,43,Male,Home Decor,8404,1.8,8
1076,42,Female,Books,2591,4.5,16
1077,58,Female,Home Decor,5099,1.8,16
1078,46,Male,Fashion,7908,3.5,12
1079,32,Female,Electronics,3477,1.3,5
1080,18,Male,Sports,1342,4.5,6
1081,42,Male,Fashion,4293,1.2,6
1082,24,Male,Electronics,2159,3.2,8
1083,26,Female,Fashion,9289,4.1,17
1084,41,Female,Books,5662,1.5,12
1085,18,Female,Home Decor,6946,2.6,14
1086,25,Female,Fashion,4770,1.2,2
1087,41,Male,Electronics,4103,3.7,19
1088,28,Female,Books,7264,2.2,6
1089,34,Female,Sports,1716,3.2,18
1090,25,Female,Books,2791,4.7,4
1091,52,Male,Home Decor,4311,2.2,5
1092,52,Male,Books,5493,1.2,6
1093,50,Female,Sports,5642,3.7,15
1094,22,Female,Electronics,7362,4.1,6
1095,59,Female,Fashion,9623,4.8,8
1096,56,Female,Home Decor,7033,1.6,9
1097,58,Male,Sports,8026,2.6,6
1098,45,Female,Home Decor,3478,4.4,2
1099,24,Female,Books,5847,4.2,16
1100,26,Female,Home Decor,8433,3.5,1
1101,25,Male,Sports,5095,2.1,16
1102,29,Male,Fashion,6711,2.1,1
1103,51,Female,Fashion,2670,1.5,1
1104,50,Female,Home Decor,9027,4.7,7
1105,40,Female,Electronics,9868,1.7,16
1106,41,Female,Home Decor,3521,3.3,17
1107,54,Female,Books,9470,3.3,16
1108,52,Male,Fashion,8336,2.5,16
1109,57,Male,Fashion,1685,2.4,6
1110,39,Male,Fashion,3785,3.7,18
1111,44,Female,Electronics,3947,2.6,3
1112,52,Male,Electronics,4491,2.0,8
1113,18,Male,Sports,9630,2.6,4
1114,52,Male,Home Decor,5399,4.2,4
1115,54,Female,Home Decor,2435,4.9,17
1116,31,Female,Books,9325,3.5,5
1117,20,Male,Fashion,9945,4.1,14
1118,18,Female,Electronics,9774,3.1,15
1119,22,Male,Books,1785,3.5,12
1120,43,Male,Books,9045,5.0,13
1121,31,Male,Electronics,7979,2.8,18
1122,56,Male,Home Decor,5755,1.3,14
1123,44,Female,Fashion,2385,4.8,19
1124,26,Female,Home Decor,5562,4.2,7
1125,32,Female,Books,7566,2.6,6
1126,32,Female,Fashion,3522,4.9,5
1127,43,Male,Sports,5765,2.4,4
1128,59,Female,Books,2047,2.5,18
1129,30,Male,Home Decor,4704,3.4,14
1130,49,Female,Home Decor,8090,2.1,16
1131,56,Female,Home Decor,1868,3.8,14
1132,49,Female,Electronics,2257,1.6,5
1133,21,Male,Books,5417,1.4,11
1134,47,Male,Fashion,3984,3.1,12
1135,54,Male,Home Decor,3552,3.2,18
1136,40,Male,Home Decor,8882,1.4,4
1137,56,Female,Electronics,1432,4.9,13
1138,32,Male,Fashion,4737,3.3,13
1139,46,Male,Books,7740,1.6,4
1140,53,Female,Sports,3738,2.2,7
1141,30,Female,Electronics,1065,4.2,2
1142,49,Male,Books,5878,3.1,18
1143,24,Female,Sports,6058,1.8,6
1144,39,Male,Home Decor,9826,1.4,16
1145,45,Female,Home Decor,1243,2.7,3
1146,19,Male,Fashion,9364,2.3,15
1147,59,Male,Sports,9222,3.6,10
1148,23,Male,Home Decor,5909,4.7,9
1149,45,Male,Home Decor,9253,2.0,11
1150,45,Male,Fashion,6129,4.4,14
1151,37,Female,Books,6818,4.7,12
1152,47,Male,Home Decor,801,4.6,7
1153,28,Male,Electronics,4267,4.8,11
1154,45,Male,Electronics,4780,4.4,17
1155,42,Male,Books,8006,3.4,9
1156,56,Male,Sports,9201,2.6,13
1157,50,Female,Fashion,7462,3.0,16
1158,18,Female,Electronics,5929,4.5,3
1159,44,Male,Electronics,7748,2.2,5
1160,30,Female,Books,3945,1.6,17
1161,58,Male,Sports,2703,1.6,1
1162,20,Female,Sports,3334,4.3,9
1163,56,Female,Books,9486,4.0,17
1164,23,Male,Electronics,2979,3.0,13
1165,25,Female,Fashion,5356,2.1,15
1166,44,Female,Electronics,934,3.7,8
1167,26,Male,Sports,2206,1.2,8
1168,54,Male,Electronics,8760,3.3,2
1169,50,Female,Fashion,6225,2.6,10
1170,59,Female,Home Decor,2404,4.9,5
1171,41,Female,Electronics,7518,3.0,16
1172,32,Male,Books,4459,3.2,19
1173,49,Female,Home Decor,7325,3.8,1
1174,49,Female,Books,6847,2.9,13
1175,41,Female,Books,6656,1.9,4
1176,58,Male,Books,3213,3.1,7
1177,29,Male,Electronics,6694,4.8,1
1178,56,Male,Sports,7012,2.6,2
1179,19,Male,Home Decor,7367,3.7,16
1180,20,Female,Fashion,4227,4.9,14
1181,54,Male,Sports,4046,4.3,5
1182,34,Female,Electronics,2803,3.6,14
1183,19,Female,Books,4181,3.9,17
1184,19,Female,Fashion,8352,4.7,12
1185,45,Female,Home Decor,3721,4.8,12
1186,40,Male,Sports,4874,4.9,3
1187,54,Male,Sports,1582,3.5,2
1188,49,Male,Fashion,9137,2.5,15
1189,50,Male,Electronics,2092,1.5,11
